Date,Price
4/20/2020,1283.11
4/21/2020,1301.02
4/22/2020,1306.92
4/23/2020,1325.56
4/24/2020,1317.73
4/27/2020,1322.06
4/28/2020,1328.4
4/29/2020,1331.25
4/30/2020,1362.06
5/4/2020,1395.63
5/5/2020,1432.89
5/6/2020,1460.29
5/7/2020,1496.49
5/8/2020,1466.84
5/11/2020,1442.2
5/12/2020,1434.38
5/13/2020,1424.5
5/14/2020,1388.22
5/15/2020,1345.3
5/18/2020,1343.81
5/19/2020,1369.9
5/20/2020,1398.79
5/21/2020,1389.6
5/22/2020,1371.44
5/25/2020,1383.91
5/26/2020,1384.22
5/27/2020,1382.98
5/28/2020,1366.88
5/29/2020,1369.52
6/1/2020,1350.31
6/2/2020,1350.31
6/4/2020,1336.12
6/5/2020,1350.31
6/8/2020,1350.31
6/10/2020,1351.67
6/11/2020,1352.71
6/12/2020,1361.05
6/15/2020,1355.46
6/16/2020,1359.26
6/17/2020,1368.89
6/18/2020,1378.08
6/19/2020,1384.64
6/22/2020,1388.37
6/23/2020,1386.6
6/24/2020,1380.61
6/25/2020,1382.11
6/26/2020,1379.34
6/29/2020,1371.95
6/30/2020,1369.84
7/1/2020,1357.32
7/2/2020,1352.5
7/3/2020,1335.4
7/6/2020,1335.36
7/7/2020,1320.37
7/8/2020,1316.55
7/9/2020,1310.37
7/10/2020,1288.69
7/13/2020,1291.84
7/14/2020,1314.1
7/15/2020,1313.56
7/16/2020,1319.64
7/17/2020,1315.83
7/20/2020,1322.9
7/21/2020,1318.67
7/22/2020,1307.88
7/23/2020,1287.88
7/24/2020,1291.87
7/27/2020,1312.76
7/28/2020,1306.94
7/29/2020,1307.1
7/30/2020,1301.56
8/3/2020,1285.01
8/4/2020,1282.44
8/5/2020,1266.95
8/6/2020,1263.5
8/7/2020,1245.67
8/10/2020,1244.68
8/11/2020,1245.79
8/12/2020,1223.91
8/13/2020,1223.4
8/14/2020,1200.36
8/17/2020,1206.9
8/18/2020,1224.59
8/19/2020,1229.93
8/20/2020,1231.05
8/21/2020,1268.66
8/24/2020,1265.97
8/25/2020,1273.38
8/26/2020,1278.31
8/27/2020,1291.74
8/28/2020,1321.2
8/31/2020,1332.11
9/1/2020,1343.59
9/2/2020,1364.36
9/3/2020,1376.54
9/4/2020,1380.81
9/7/2020,1351.84
9/8/2020,1345.09
9/9/2020,1328.43
9/10/2020,1345.04
9/11/2020,1364.38
9/14/2020,1371.52
9/15/2020,1370.05
9/16/2020,1365.25
9/17/2020,1359.77
9/18/2020,1338.41
9/21/2020,1359
9/22/2020,1345
9/23/2020,1342.99
9/24/2020,1346.98
9/25/2020,1349.81
9/28/2020,1362.2
9/29/2020,1382.83
9/30/2020,1361.95
10/1/2020,1386.04
10/2/2020,1373.93
10/5/2020,1362.27
10/6/2020,1355.71
10/7/2020,1346.35
10/8/2020,1341.36
10/12/2020,1348.51
10/13/2020,1355.85
10/14/2020,1346.73
10/15/2020,1341.42
10/16/2020,1344.05
10/19/2020,1337.86
10/20/2020,1343.21
10/21/2020,1336.97
10/22/2020,1333.56
10/23/2020,1329.34
10/26/2020,1321.22
10/27/2020,1309.64
10/28/2020,1310.9
10/29/2020,1311.6
10/30/2020,1306.58
11/2/2020,1297.96
11/3/2020,1290.78
11/4/2020,1281.09
11/5/2020,1279.73
11/6/2020,1300.87
11/9/2020,1296.2
11/10/2020,1294.81
11/11/2020,1311.71
11/12/2020,1346.82
11/13/2020,1335.45
11/16/2020,1338.04
11/17/2020,1338
11/18/2020,1336.07
11/19/2020,1328.45
11/20/2020,1306.13
11/23/2020,1302.77
11/24/2020,1308.76
11/25/2020,1312.8
11/26/2020,1313.93
11/27/2020,1311.73
11/30/2020,1294.19
12/1/2020,1291.73
12/2/2020,1297.07
12/3/2020,1291.48
12/4/2020,1289.25
12/7/2020,1281.46
12/8/2020,1277.07
12/9/2020,1273.41
12/10/2020,1277.33
12/11/2020,1274.52
12/14/2020,1274.85
12/15/2020,1270.8
12/16/2020,1267.26
12/17/2020,1257.83
12/18/2020,1254.38
12/21/2020,1258.78
12/22/2020,1263.72
12/23/2020,1263.15
12/24/2020,1291.26
12/28/2020,1295.19
12/29/2020,1297.02
12/30/2020,1297.59
12/31/2020,1309.86
1/4/2021,1317.91
1/5/2021,1320.71
1/6/2021,1329.97
1/7/2021,1330.07
1/8/2021,1329.9
1/11/2021,1327.09
1/12/2021,1322.96
1/13/2021,1326.74
1/18/2021,1317.96
1/19/2021,1304.75
1/20/2021,1301.65
1/21/2021,1306.2
1/22/2021,1308.48
1/25/2021,1302.02
1/27/2021,1292.98
1/28/2021,1296.89
1/29/2021,1299.94
2/1/2021,1298.12
2/2/2021,1304.09
2/3/2021,1305.43
2/4/2021,1318.27
2/5/2021,1329
2/8/2021,1333.52
2/9/2021,1348.11
2/10/2021,1353.08
2/11/2021,1369.89
2/12/2021,1374.89
2/15/2021,1372.44
2/17/2021,1383.39
2/18/2021,1394.47
2/19/2021,1389.14
2/22/2021,1379.56
2/23/2021,1371.63
2/24/2021,1364.1
2/25/2021,1357.93
2/26/2021,1352.13
3/1/2021,1357.18
3/2/2021,1361.47
3/3/2021,1360.97
3/4/2021,1357.08
3/5/2021,1357.59
3/9/2021,1363.33
3/10/2021,1371.5
3/11/2021,1388.65
3/12/2021,1395.99
3/15/2021,1411.97
3/16/2021,1411.07
3/17/2021,1415.06
3/18/2021,1415.99
3/19/2021,1429.3
3/22/2021,1426.6
3/23/2021,1422.19
3/24/2021,1426.75
3/25/2021,1432.36
3/26/2021,1426.59
3/29/2021,1412.23
3/30/2021,1348.56
3/31/2021,1355.12
4/1/2021,1367.33
4/6/2021,1381.63
4/7/2021,1370.71
4/8/2021,1370.69
4/9/2021,1366.87
4/12/2021,1381.26
4/13/2021,1394.6
4/14/2021,1406.23
4/15/2021,1419.4
4/16/2021,1414.95
4/19/2021,1416.51
4/20/2021,1407.33
4/21/2021,1409.57
4/22/2021,1403.72
4/23/2021,1383.33
4/26/2021,1396.45
4/27/2021,1399.37
4/28/2021,1389.1
4/29/2021,1391.5
4/30/2021,1390.42
5/3/2021,1387.53
5/4/2021,1392.01
5/5/2021,1390.75
5/6/2021,1392.03
5/7/2021,1411.44
5/10/2021,1419.72
5/11/2021,1424.94
5/14/2021,1414.2
5/17/2021,1411.82
5/18/2021,1401.87
5/19/2021,1403.99
5/20/2021,1402.84
5/21/2021,1405.06
5/24/2021,1411.53
5/25/2021,1438.96
5/26/2021,1428.29
5/27/2021,1451.72
5/28/2021,1453.6
5/31/2021,1451.93
6/1/2021,1442.02
6/2/2021,1445.95
6/4/2021,1456.11
6/7/2021,1460.82
6/8/2021,1461.72
6/10/2021,1473.61
6/11/2021,1474.09
6/14/2021,1475.55
6/15/2021,1472.36
6/16/2021,1587.1
6/17/2021,1480.57
6/18/2021,1488.7
6/21/2021,1484.24
6/22/2021,1495.58
6/23/2021,1504.23
6/24/2021,1502.85
6/28/2021,1503.82
6/29/2021,1506.22
6/30/2021,1498.22
7/1/2021,1485.97
7/2/2021,1488.02
7/5/2021,1504.9
7/6/2021,1504.9
7/7/2021,1513.31
7/8/2021,1532.07
7/9/2021,1558.12
7/12/2021,1557.61
7/13/2021,1537.11
7/14/2021,1536.51
7/15/2021,1532.19
7/16/2021,1549.37
7/19/2021,1546.7
7/21/2021,1544.91
7/22/2021,1528.44
7/23/2021,1528.69
7/26/2021,1528.69
7/27/2021,1534.78
7/28/2021,1532.92
7/29/2021,1527.1
7/30/2021,1525.23
8/2/2021,1529.45
8/3/2021,1534.01
8/4/2021,1529.62
8/5/2021,1532.47
8/6/2021,1527.21
8/9/2021,1527.39
8/10/2021,1534.81
8/11/2021,1537.76
8/12/2021,1543.76
8/13/2021,1535.36
8/16/2021,1543.16
8/17/2021,1544
8/18/2021,1542.9
8/19/2021,1582.18
8/20/2021,1582.93
8/23/2021,1557.19
8/24/2021,1564.27
8/25/2021,1562.6
8/26/2021,1557.81
8/27/2021,1557.44
8/30/2021,1570.18
8/31/2021,1574.27
9/1/2021,1561.14
9/2/2021,1552.22
9/3/2021,1530.9
9/6/2021,1511.73
9/7/2021,1494.55
9/8/2021,1502.02
9/9/2021,1508.02
9/10/2021,1510.75
9/13/2021,1522.21
9/14/2021,1524.82
9/15/2021,1527.35
9/16/2021,1521.72
9/17/2021,1531.52
9/20/2021,1553.45
9/21/2021,1552.54
9/22/2021,1532.14
9/23/2021,1521.68
9/24/2021,1520.1
9/27/2021,1513.44
9/28/2021,1513.87
9/29/2021,1515.84
9/30/2021,1511.3
10/1/2021,1517.28
10/4/2021,1516.43
10/5/2021,1506.43
10/6/2021,1485.84
10/7/2021,1484.79
10/8/2021,1484.94
10/11/2021,1488.7
10/12/2021,1498.39
10/13/2021,1489.49
10/14/2021,1492.1
10/15/2021,1483.1
10/18/2021,1492.08
10/19/2021,1494.92
10/20/2021,1496.59
10/21/2021,1487.9
10/22/2021,1488.95
10/25/2021,1480.41
10/26/2021,1468.36
10/27/2021,1466.94
10/28/2021,1474.98
10/29/2021,1465.56
11/1/2021,1464.61
11/2/2021,1465.32
11/3/2021,1467.54
11/4/2021,1466.4
11/5/2021,1466.4
11/8/2021,1460.69
11/9/2021,1456.69
11/10/2021,1468.59
11/11/2021,1477.6
11/12/2021,1468.18
11/15/2021,1465.16
11/16/2021,1451.38
11/17/2021,1450.04
11/18/2021,1448.04
11/19/2021,1461.69
11/22/2021,1467.64
11/23/2021,1457.79
11/24/2021,1454.1
11/25/2021,1442.16
11/26/2021,1431.65
11/29/2021,1435.88
11/30/2021,1423.28
12/1/2021,1407.34
12/2/2021,1393
12/3/2021,1372.43
12/6/2021,1362.15
12/7/2021,1365.16
12/8/2021,1348.04
12/9/2021,1378.26
12/10/2021,1378.61
12/13/2021,1384.73
12/14/2021,1380.72
12/15/2021,1388.57
12/16/2021,1390.63
12/17/2021,1395.85
12/20/2021,1389.04
12/21/2021,1395.67
12/22/2021,1404
12/23/2021,1408.37
12/24/2021,1406.98
12/27/2021,1406.98
12/28/2021,1409.86
12/29/2021,1413.16
12/30/2021,1417.05
12/31/2021,1420.69
1/3/2022,1417.73
1/4/2022,1433.53
1/5/2022,1433.73
1/6/2022,1425.7
1/7/2022,1422.98
1/10/2022,1430.37
1/11/2022,1423.49
1/12/2022,1405.6
1/13/2022,1403.3
1/14/2022,1370.48
1/17/2022,1370.45
1/18/2022,1379.1
1/19/2022,1377.62
1/20/2022,1380.49
1/21/2022,1377.77
1/24/2022,1376.56
1/25/2022,1384.32
1/27/2022,1385.56
1/28/2022,1368.43
1/31/2022,1369.34
2/1/2022,1378.72
2/2/2022,1374.67
2/3/2022,1387.94
2/4/2022,1397.53
2/7/2022,1397.87
2/8/2022,1394.93
2/9/2022,1394.05
2/10/2022,1379.36
2/11/2022,1385.33
2/14/2022,1387.4
2/15/2022,1367.08
2/17/2022,1379.21
2/18/2022,1370.66
2/21/2022,1373.14
2/22/2022,1374.19
2/23/2022,1387.96
2/24/2022,1390.18
2/25/2022,1391.66
2/28/2022,1337.09
3/1/2022,1337.68
3/2/2022,1326.99
3/3/2022,1319.79
3/4/2022,1329.95
3/7/2022,1341.63
3/9/2022,1344.5
3/10/2022,1342.19
3/11/2022,1345.57
3/14/2022,1341.52
3/15/2022,1607.93
3/16/2022,1332.14
3/17/2022,1339.38
3/18/2022,1338.99
3/21/2022,1327.97
